Bogføringsdato;Beløb;Posteringstype;Reference;Løbende_saldo;Statuskonto
20250422;175,00;DANKORT-SALG;Dankort-salg 18.04 5247969 691754;215147205,34;90540000
20250422;45,00;DANKORT-SALG;Dankort-salg 18.04 5247969 625350;215147030,34;90540000
20250422;300,00;DANKORT-SALG;Dankort-salg 18.04 5078318 2727;215146985,34;90540000
20250422;120,00;DANKORT-SALG;Dankort-salg 18.04 4922735 208550;215146685,34;90540000
20250422;111,00;DANKORT-SALG;Dankort-salg 18.04 4922735 208542;215146565,34;90540000
20250422;7,00;DANKORT-SALG;Dankort-salg 18.04 4922735 208069;215146454,34;90540000
20250422;2.420,00;DANKORT-SALG;Dankort-salg 18.04 4862899 924450;215146447,34;90540000
20250422;3.765,00;DANKORT-SALG;Dankort-salg 18.04 4862899 087650;215144027,34;90540000
20250422;408,00;DANKORT-SALG;Dankort-salg 18.04 3796930 040650;215140262,34;90540000
20250422;35,00;DANKORT-SALG;Dankort-salg 18.04 3796914 879050;215139854,34;90540000
20250422;2.402,00;DANKORT-SALG;Dankort-salg 18.04 3796914 878950;215139819,34;90540000
20250422;68,00;DANKORT-SALG;Dankort-salg 18.04 3796892 673150;215137417,34;90540000
20250422;593,00;DANKORT-SALG;Dankort-salg 18.04 3796884 623450;215137349,34;90540000
20250422;30,00;DANKORT-SALG;Dankort-salg 18.04 3796868 574350;215136756,34;90540000
20250422;15,00;DANKORT-SALG;Dankort-salg 18.04 2471043 092211;215136726,34;90540000
20250422;50,00;DANKORT-SALG;Dankort-salg 17.04 5891507 278350;215136711,34;90540000
20250422;105,00;DANKORT-SALG;Dankort-salg 17.04 5541069 265750;215136661,34;90540000
20250422;317,50;DANKORT-SALG;Dankort-salg 17.04 5541069 265750;215136766,34;90540000
20250422;2.450,00;DANKORT-SALG;Dankort-salg 17.04 5541069 265750;215137083,84;90540000
20250422;35,00;DANKORT-SALG;Dankort-salg 17.04 5247969 691753;215134633,84;90540000
20250422;300,00;DANKORT-SALG;Dankort-salg 17.04 5078318 2724;215134598,84;90540000
20250422;300,00;DANKORT-SALG;Dankort-salg 17.04 5078318 2723;215134298,84;90540000
20250422;300,00;DANKORT-SALG;Dankort-salg 17.04 5078318 2721;215133998,84;90540000
20250422;120,00;DANKORT-SALG;Dankort-salg 17.04 4922735 208550;215133698,84;90540000
20250422;34,00;DANKORT-SALG;Dankort-salg 17.04 4922735 208370;215133578,84;90540000
20250422;9,00;DANKORT-SALG;Dankort-salg 17.04 4922735 208170;215133544,84;90540000
20250422;20,00;DANKORT-SALG;Dankort-salg 17.04 4922735 208069;215133535,84;90540000
20250422;120,00;DANKORT-SALG;Dankort-salg 17.04 4922735 208069;215133515,84;90540000
20250422;1.995,00;DANKORT-SALG;Dankort-salg 17.04 4862899 924350;215133395,84;90540000
20250422;4.900,00;DANKORT-SALG;Dankort-salg 17.04 4862899 087550;215131400,84;90540000
20250422;491,00;DANKORT-SALG;Dankort-salg 17.04 3796930 040650;215126500,84;90540000
20250422;75,00;DANKORT-SALG;Dankort-salg 17.04 3796914 878950;215126009,84;90540000
20250422;1.517,00;DANKORT-SALG;Dankort-salg 17.04 3796914 878850;215125934,84;90540000
20250422;282,00;DANKORT-SALG;Dankort-salg 17.04 3796892 673050;215124417,84;90540000
20250422;396,00;DANKORT-SALG;Dankort-salg 17.04 3796884 623450;215124135,84;90540000
20250422;54,00;DANKORT-SALG;Dankort-salg 17.04 3796795 278850;215123739,84;90540000
20250422;234,25;DANKORT-SALG;Dankort-salg 17.04 2471043 092210;215123685,84;90540000
20250422;3.532,00;DANKORT-SALG;Dankort-salg 16.04 7221290 729150;215123451,59;90540000
20250422;27,00;DANKORT-SALG;Dankort-salg 16.04 6201830 318750;215119919,59;90540000
20250422;633,00;DANKORT-SALG;Dankort-salg 16.04 6201830 318650;215119892,59;90540000
20250422;2.600,00;DANKORT-SALG;Dankort-salg 16.04 6175937 004177;215119259,59;90540000
20250422;108,00;DANKORT-SALG;Dankort-salg 16.04 5991390 214850;215116659,59;90540000
20250422;294,00;DANKORT-SALG;Dankort-salg 16.04 5891507 278350;215116551,59;90540000
20250422;2.279,00;DANKORT-SALG;Dankort-salg 16.04 5846102 814050;215116257,59;90540000
20250422;995,00;DANKORT-SALG;Dankort-salg 16.04 5541069 265650;215113978,59;90540000
20250422;210,00;DANKORT-SALG;Dankort-salg 16.04 5247969 691752;215112983,59;90540000
20250422;660,00;DANKORT-SALG;Dankort-salg 16.04 5078318 2720;215112773,59;90540000
20250422;1.000,00;DANKORT-SALG;Dankort-salg 16.04 5078318 2718;215112113,59;90540000
20250422;660,00;DANKORT-SALG;Dankort-salg 16.04 5078318 2717;215111113,59;90540000
20250422;406,00;DANKORT-SALG;Dankort-salg 16.04 4922735 208927;215111773,59;90540000
20250422;1.804,00;DANKORT-SALG;Dankort-salg 16.04 4922735 208617;215111367,59;90540000
20250422;7.771,03;MOBILEPAY;Mobilepay 4000000000012004252;209441478,87;90540000
20250422;226,50;MOBILEPAY;Mobilepay 2020498350012004253;209427508,00;90540000
20250422;104,00;MOBILEPAY;Mobilepay 2020314620012004258;209426984,50;90540000
20250422;93,50;MOBILEPAY;Mobilepay 2020219860012004252;209426831,50;90540000
20250422;309,00;MOBILEPAY;Mobilepay 2020190910012004250;209426572,00;90540000
20250422;5.430,00;MOBILEPAY;Mobilepay 2007785490012004250;209407494,00;90540000
20250422;800,00;MOBILEPAY;Mobilepay 2006591270012004254;209391284,00;90540000
20250422;41,00;MOBILEPAY;Mobilepay 2005827710012004256;209389229,00;90540000
20250422;25,00;MOBILEPAY;Mobilepay 2005473320012004252;209389163,00;90540000
20250422;103,00;MOBILEPAY;Mobilepay 2004212550012004255;209388986,00;90540000
20250422;5.705,84;MOBILEPAY;Mobilepay 4000000000011904256;209433707,84;90540000
20250422;269,00;MOBILEPAY;Mobilepay 2020498350011904257;209427281,50;90540000
20250422;15,00;MOBILEPAY;Mobilepay 2020314620011904252;209426880,50;90540000
20250422;10,00;MOBILEPAY;Mobilepay 2020219860011904256;209426738,00;90540000
20250422;340,00;MOBILEPAY;Mobilepay 2020190910011904254;209426263,00;90540000
20250422;100,00;MOBILEPAY;Mobilepay 2009951390011904254;209425868,00;90540000
20250422;200,00;MOBILEPAY;Mobilepay 2009915380011904255;209425668,00;90540000
20250422;20,00;MOBILEPAY;Mobilepay 2008341380011904257;209425389,00;90540000
20250422;225,00;MOBILEPAY;Mobilepay 2008082310011904256;209425294,00;90540000
20250422;40,00;MOBILEPAY;Mobilepay 2007260820011904255;209394524,00;90540000
20250422;1.200,00;MOBILEPAY;Mobilepay 2006591270011904258;209390484,00;90540000
20250422;15,00;MOBILEPAY;Mobilepay 2002113950011904251;209388633,00;90540000
20250422;20,00;MOBILEPAY;Mobilepay 2001684700011904258;209388618,00;90540000
20250422;16,00;MOBILEPAY;Mobilepay 2020219860011804259;209426728,00;90540000
20250422;55,00;MOBILEPAY;Mobilepay 2020190910011804257;209425923,00;90540000
20250422;100,00;MOBILEPAY;Mobilepay 2009951390011804257;209425768,00;90540000
20250422;7.240,00;MOBILEPAY;Mobilepay 2007785490011804257;209402064,00;90540000
20250422;30,00;MOBILEPAY;Mobilepay 2006169460011804257;209389284,00;90540000
20250422;10,00;MOBILEPAY;Mobilepay 2005473320011804259;209389138,00;90540000

